1232.11701	12.53131	0.12036
1184.72789	12.61748	0.12366
1139.79372	12.70365	0.12695
1099.12311	12.80548	0.13189
1060.34166	12.92149	0.1383
1025.05575	13.042	0.1452
992.04268	13.2481	0.1612
960.34061	13.45419	0.1772
931.30537	13.69732	0.2115
903.31159	13.96783	0.25932
877.57622	14.23884	0.31547
853.26663	14.51428	0.44658
829.70842	14.78972	0.5777
807.94558	15.0277	0.7385
786.79247	15.24322	0.91713
767.19614	15.46362	1.1009
748.55225	15.71174	1.31384
730.35981	15.95986	1.52678
713.44355	16.208	1.76529
696.89876	16.45614	2.01612
681.48065	16.70335	2.28229
666.72998	16.94677	2.60982
652.25887	17.19019	2.93735
638.73354	17.38111	3.28304
625.44011	17.55212	3.63562
612.99354	17.72347	4.00697
600.73964	17.89581	4.43459
589.24773	18.06816	4.86221
578.18724	18.24051	5.28984
567.27302	18.41286	5.71746
557.01492	18.5589	6.17599
546.87839	18.64358	6.70663
537.33842	18.72825	7.23728
528.12559	18.81293	7.76792
519.00464	18.8976	8.29856
510.40473	18.92217	8.84506
501.88065	18.83511	9.421
493.83447	18.74805	9.99695
486.04221	18.66099	10.57289
478.30629	18.57393	11.14883
470.99274	18.42227	11.75034
463.72488	18.17371	12.39017
456.84724	17.92514	13.03001
450.17063	17.67657	13.66985
443.52664	17.42801	14.30969
437.23102	17.09245	14.93738
430.96083	16.65057	15.55023
425.01449	16.2087	16.16308
419.23001	15.76682	16.77593
413.46208	15.32494	17.38878
407.98576	14.76264	17.91278
402.52107	14.07991	18.34793
397.32893	13.39718	18.78308
392.26903	12.71446	19.21823
387.21465	12.03173	19.65338
382.40751	11.3256	19.94907
377.60252	10.60033	20.13064
373.02967	9.87506	20.31222
368.56626	9.14978	20.49379
364.10077	8.42451	20.67537
359.84726	7.67061	20.71164
355.58932	6.89762	20.65103
351.53124	6.12463	20.59042
347.56474	5.35164	20.52982
343.59091	4.57865	20.46921
339.80061	3.91364	20.292
336.00137	3.30677	20.052
332.37578	2.6999	19.812
328.8276	2.09303	19.572
325.26848	1.48616	19.332
321.86965	0.96035	19.02022
318.45878	0.46928	18.67767
315.20005	-0.02179	18.33513
312.00735	-0.51286	17.99258
308.80126	-1.00393	17.65004
305.73623	-1.36326	17.26143
302.65709	-1.67868	16.85747
299.71224	-1.99409	16.45351
296.75265	-2.3095	16.04955
293.92104	-2.62492	15.64559
291.14296	-2.84349	15.27214
288.34941	-3.03785	14.90633
285.67517	-3.23222	14.54051
282.98507	-3.42658	14.17469
280.40897	-3.62094	13.80887
277.87934	-3.7617	13.47517
275.33341	-3.89299	13.14713
272.89413	-4.02429	12.81908
270.43832	-4.15558	12.49104
268.08464	-4.28687	12.163
265.77157	-4.36598	11.85234
263.44174	-4.4393	11.54362
261.20776	-4.51261	11.23489
258.95692	-4.58592	10.92616
256.79804	-4.65923	10.61744
254.67487	-4.68182	10.35765
252.53474	-4.70174	10.10044
250.4812	-4.72166	9.84323
248.41069	-4.74158	9.58601
246.4234	-4.7615	9.3288
