1937 3.47 9.09
1610 3.14 7.96
1393 2.96 7.08
1216 2.79 6.43
1088 2.65 5.93
984 2.48 5.55
892 2.4 5.23
821 2.26 4.97
756 2.13 4.73
704 2.06 4.5
659 1.99 4.26
617 1.99 4.02
582 1.96 3.8
549 1.92 3.61
521 1.85 3.42
496 1.82 3.25
471 1.78 3.09
451 1.73 2.95
431 1.71 2.82
413 1.7 2.69
397 1.72 2.57
381 1.72 2.48
368 1.7 2.4
354 1.74 2.32
342 1.78 2.26
332 1.84 2.22
320 1.93 2.19
311 2.01 2.18
301 2.02 2.18
292 2.03 2.2
284 2.03 2.23
276 2.01 2.26
269 1.96 2.29
262 1.89 2.3
255 1.82 2.32
249 1.73 2.31
243 1.65 2.29
237 1.57 2.25
231 1.49 2.2
226 1.43 2.15
221 1.38 2.09
216 1.34 2.02
212 1.32 1.96
207 1.29 1.89
203 1.28 1.82
199 1.28 1.75
195 1.29 1.69
192 1.29 1.64
188 1.26 1.6
